,document_id,id,owner,asset,transactiontype,date,notif_date,amount,capgains,assettype,ticker
0,,,,,,,,,,,
1,20024769,,jt,"virginia st hsg dev 3.65% 04/01/33 [gs] f_____ s_____: new s_________ o_: stocks, bonds, & mutual funds d__________: 20,000 units of virginia state housing development bond, 3.65%, 04/01/3",p,03/28/2024,,"$15,001 - $50,000 3",,,
2,20024458,,sp,"blackrock, inc. common stock (blk) [st] f_____ s_____: new s_________ o_: r.w. allen & associates, inc.",s,01/17/2024,,"$50,001 - $100,000",,st,blk
3,20024277,,sp,"albemarle corporation (alb) [st] f_____ s_____: new s_________ o_: r.w. allen & associates, inc.",s,12/21/2023,,"$1,001 - $15,000",,st,alb
4,20024277,,sp,albemarle corporation (alb) [st],s,12/21/2023,,"$1,001 - $15,000",,st,alb
5,20024277,,sp,"charles schwab corporation (schw) [st] f_____ s_____: new s_________ o_: r.w. allen & associates, inc.",p,12/14/2023,,"$50,001 - $100,000",,st,schw
6,20024277,,sp,"nextera energy, inc. (nee) [st]",s,12/21/2023,,"$15,001 - $50,000",,st,nee
7,20024580,,sp,alphabet inc. - class a common stock (googl) [st] f_____ s_____: new d__________: part of my spouse's retirement portfolio.,s,02/01/2024,,"$1,001 - $15,000",,st,googl
8,20024580,,sp,"amazon.com, inc. - common stock (amzn) [st]",p,02/12/2024,,"$15,001 - $50,000",,st,amzn
9,20024580,,sp,koninklijke philips n.v. ny registry shares (phg) [st] f_____ s_____: new d__________: part of my spouse's retirement portfolio.,p,02/12/2024,,"$1,001 - $15,000",,st,phg
10,20024580,,sp,"pfizer, inc. common stock (pfe) [st]",p,02/12/2024,,"$1,001 - $15,000",,st,pfe
11,20024580,,sp,qualcomm incorporated - common stock (qcom) [st] f_____ s_____: new d__________: part of my spouse's retirement portfolio.,p,02/12/2024,,"$1,001 - $15,000",,st,qcom
12,20024580,,sp,unilever plc common stock (ul) [st],s,02/12/2024,,"$1,001 - $15,000",,st,ul
13,20025133,,jt,"metropolitan wash dc 5.00% 10/01/31 [gs] f_____ s_____: new s_________ o_: stocks, bonds, & mutual funds d__________: 20,000 units of metropolitan washington dc 5.00% 10/01/31 bonds",p,05/02/2024,,"$15,001 - $50,000",,,
14,20024254,,sp,"alaska air group, inc. (alk) [st] f_____ s_____: new d__________: part of my spouse's retirement portfolio.",s,12/13/2023,,"$1,001 - $15,000",,st,alk
15,20024254,,sp,diageo plc (deo) [st],p,12/07/2023,,"$15,001 - $50,000",,st,deo
16,20024671,,sp,northwest natural holding company common stock (nwn) [st] f_____ s_____: new d__________: dividend reinvestment. part of my spouse’sretirement portfolio.,p,02/15/2024,,"$1,001 - $15,000",,st,nwn
17,20024265,,,"united parcel service, inc. (ups) [st] f_____ s_____: new",s,12/14/2023,,"$1,001 - $15,000",,st,ups
18,20024265,,,"united parcel service, inc. (ups) [st]",p,12/14/2023,,"$1,001 - $15,000",,st,ups
19,20024265,,sp,"united parcel service, inc. (ups) [st] f_____ s_____: new",s,12/15/2023,,"$1,001 - $15,000",,st,ups
20,20024265,,sp,"united parcel service, inc. (ups) [st]",p,12/15/2023,,"$1,001 - $15,000",,st,ups
21,20024437,,,blackstone inc. (bx) [st] f_____ s_____: new,s,01/12/2024,,"$15,001 - $50,000",,st,bx
22,20024437,,,valero energy corporation (vlo) [st],s,01/12/2024,,"$15,001 - $50,000",,st,vlo
23,20024722,,,"illumina, inc. - common stock (ilmn) [st] f_____ s_____: new",s,03/11/2024,,"$1,001 - $15,000",,st,ilmn
24,20024722,,,"walgreens boots alliance, inc. - common stock (wba) [st]",s,03/01/2024,,"$1,001 - $15,000",,st,wba
25,20025219,,sp,northwest natural holding company common stock (nwn) [st] f_____ s_____: new d__________: dividend reinvestment. part of my spouse'sretirement portfolio.,p,05/15/2024,,"$1,001 - $15,000",,st,nwn
26,20024627,,,"best buy co., inc. common stock (bby) [st] f_____ s_____: new",s,02/23/2024,,"$15,001 - $50,000",,st,bby
27,20024627,,sp,"best buy co., inc. common stock (bby) [st]",s,02/26/2024,,"$15,001 - $50,000",,st,bby
28,20024627,,sp,"illumina, inc. - common stock (ilmn) [st] f_____ s_____: new",s,02/12/2024,,"$1,001 - $15,000",,st,ilmn
29,20024627,,,"illumina, inc. - common stock (ilmn) [st]",s,02/09/2024,,"$1,001 - $15,000",,st,ilmn
30,20024627,,,"illumina, inc. - common stock (ilmn) [st] f_____ s_____: new d__________: the terms of the call are astrike price of $138, and an expiration of 03/08/2",s,02/12/2024,,"$1,001 - $15,000 024.",,st,ilmn
31,20024627,,,"illumina, inc. - common stock (ilmn) [st]",p,02/12/2024,,"$15,001 - $50,000",,st,ilmn
32,20024627,,,"palo alto networks, inc. (panw) [st] f_____ s_____: new",s,02/09/2024,,"$15,001 - $50,000",,st,panw
33,20024330,,sp,"advanced micro devices, inc. (amd) [st] f_____ s_____: new",s,01/02/2024,,"$1,001 - $15,000",,st,amd
34,20024330,,sp,amgen inc. (amgn) [st],s,01/02/2024,,"$15,001 - $50,000",,st,amgn
35,20024330,,sp,blackstone inc. (bx) [st] f_____ s_____: new,s,01/02/2024,,"$15,001 - $50,000",,st,bx
36,20024330,,sp,exxon mobil corporation (xom) [st],p,01/02/2024,,"$15,001 - $50,000",,st,xom
37,20024330,,sp,"illumina, inc. (ilmn) [st] f_____ s_____: new",p,01/02/2024,,"$15,001 - $50,000",,st,ilmn
38,20024330,,sp,"illumina, inc. (ilmn) [st]",s,01/02/2024,,"$1,001 - $15,000",,st,ilmn
39,20024330,,,"illumina, inc. (ilmn) [st] f_____ s_____: new",p,01/02/2024,,"$1,001 - $15,000",,st,ilmn
40,20024330,,sp,"palo alto networks, inc. (panw) [st]",s,01/02/2024,,"$15,001 - $50,000",,st,panw
41,20024330,,sp,royal bank of canada (ry) [st] f_____ s_____: new,p,01/10/2024,,"$1,001 - $15,000",,st,ry
42,20024330,,sp,royal bank of canada (ry) [st],s,01/10/2024,,"$1,001 - $15,000",,st,ry
43,20024330,,sp,valero energy corporation (vlo) [st] f_____ s_____: new,s,01/02/2024,,"$15,001 - $50,000",,st,vlo
44,20024984,,sp,blackstone inc. common stock (bx) [st] f_____ s_____: new d__________: part of my spouse's retirement portfolio.,s,04/04/2024,,"$1,001 - $15,000",,st,bx
45,20024984,,sp,"caterpillar, inc. common stock (cat) [st]",s,04/04/2024,,"$1,001 - $15,000",,st,cat
46,20024984,,sp,embraer s.a. common stock (erj) [st] f_____ s_____: new d__________: part of my spouse's retirement portfolio.,s,04/04/2024,,"$1,001 - $15,000",,st,erj
47,20024984,,sp,kroger company (kr) [st],s,04/04/2024,,"$1,001 - $15,000",,st,kr
48,20024984,,sp,"magna international, inc. common stock (mga) [st] f_____ s_____: new d__________: part of my spouse's retirement portfolio.",s,04/04/2024,,"$1,001 - $15,000",,st,mga
49,20024984,,sp,mckesson corporation common stock (mck) [st],s,04/04/2024,,"$15,001 - $50,000",,st,mck
50,20024984,,sp,"nike, inc. common stock (nke) [st] f_____ s_____: new d__________: part of my spouse's retirement portfolio.",p,04/04/2024,,"$15,001 - $50,000",,st,nke
